zone,company,highways,phone_main,phone_alt,email,email_status,website,website_status,city,fleet_size_est,num_locations,years_in_business,services_noted,mto_accreditation,contact_name,contact_role,linkedin_url,linkedin_notes,call_day,approach,priority,outreach_status,notes
"1A + 2B",Abrams Towing,"Hwy 401 (400–404) AND (James Snow–Hwy 6 S)",,,,not_found,,not_found,"GTA / Mississauga / Toronto","large (two-zone volume)",,,"Highway towing (two zones)",,unknown,owner/ops,,search: ""Abrams Towing Ontario"" on LinkedIn,"Mon Apr 28 — PRIORITY",FIND_PHONE_FIRST,HIGHEST,not_started,"ONLY company holding TWO MTO zones — means larger fleet and more complex overflow problem. Find phone via 411.ca searches: ""Abrams Towing"" in Toronto / Mississauga / Brampton / GTA"
1B,Bob's Towing,"Hwy 401 (404 to Morningside)",,,,not_found,,not_found,"Scarborough / East Toronto",small-medium,,,"Highway towing",,"Bob",owner,,search: ""Bob's Towing Scarborough"" on LinkedIn,"Wed Apr 30",FIND_PHONE_FIRST,NORMAL,not_started,"Search 411.ca for ""Bob's Towing Scarborough"" or ""Bob's Towing Toronto"" / YellowPages"
1C,Williams Towing Service,"Hwy 404 (401 to Major Mackenzie Dr)",416-299-8383,,dispatch@williamstowing.ca,confirmed,williamstowing.ca,active,"Scarborough","large (15,000 vehicles/yr)",1,55+,"Highway towing, storage",,unknown,owner/ops manager,,search: ""Williams Towing Service"" on LinkedIn,"Wed Apr 30",CALL+EMAIL,NORMAL,draft,"55+ years in business. 15,000 vehicles/year. Well-established Scarborough operation. Scale warrants premium pitch."
1D,Classic Towing & Storage Service,"Hwy 401 (Morningside to Hwy 412)",416-604-3222,,info@classictowing.ca,best_guess,classictowing.ca,unknown,"Scarborough / East Toronto",medium,,,,"Highway towing, storage","Kevin",owner,,search: ""Classic Towing Storage Scarborough"" on LinkedIn,"Mon Apr 28",WARM_CALL+EMAIL,HIGH,draft,"Prior contact — Kevin is owner. Warm call referencing prior conversation. Best-guess email info@classictowing.ca"
2A,A.Z. Towing,"Hwy 401 (Dixie to James Snow Pkwy)",905-463-5555,,Dispatch@aztowing.ca,confirmed,aztowing.ca,active,"Mississauga","20+ trucks",,,,"Highway towing, roadside assistance",,unknown,owner,,search: ""AZ Towing Mississauga"" on LinkedIn,"Tue Apr 29",CALL+EMAIL,NORMAL,draft,"20+ trucks confirmed from website research. Core Mississauga corridor."
2C,COMTOW,"Hwy 410 (401 to Hurontario)",,,,not_found,comtow.ca,tls_expired,"Brampton",,,,"Highway towing",,unknown,owner,,search: ""COMTOW Brampton"" on LinkedIn,"Wed Apr 30",FIND_PHONE_FIRST,NORMAL,needs_phone,"MTO contract is current. Website comtow.ca exists but TLS certificate expired. Try 411.ca ""COMTOW Brampton"""
2D,Lyons Towing,"Hwy 403 (QEW to 401)",905-277-1456,,dispatch@lyons-towing.com,confirmed,lyons-towing.com,active,"Mississauga",,,,"Highway towing, recovery",,unknown,owner,,search: ""Lyons Towing"" on LinkedIn,"Mon Apr 28",CALL+EMAIL,NORMAL,draft,"Operates on high-congestion Mississauga interchange (403/QEW/401). Active website confirmed."
3A,Fellows Towing,"Hwy 400 (401 to Hwy 9)",1-877-401-0401,416-656-4000,info@fellowstowing.com,confirmed,fellowstowing.com,active,"Toronto / Vaughan",,,,"Highway towing, heavy recovery, float, storage",,unknown,owner/operations,,search: ""Fellows Towing Toronto"" on LinkedIn,"Tue Apr 29",CALL+EMAIL,NORMAL,draft,"Heavy recovery + float capabilities noted from website. Covers high-incident 400/401 interchange."
3B,Pacific Towing and Recovery,"Hwy 401 (Dixie to Islington)",905-407-0000,,info@pacifictowing.ca,confirmed,pacifictowing.ca,active,"Mississauga",,,,"Heavy recovery, air cushion recovery, highway towing",,unknown,owner/ops manager,,search: ""Pacific Towing Recovery Mississauga"" on LinkedIn,"Mon Apr 28",CALL+EMAIL,NORMAL,draft,"Heavy recovery and air cushion capabilities confirmed. Likely ISO-aware given service level."
3C,Bill & Son Towing,"Hwy 401 + Hwy 409 + Hwy 427",,,,not_found,,not_found,"Etobicoke / Toronto","medium-to-large (multi-highway)",,,"Highway towing (3 highways)","Bill (+ son)",owner,,search: ""Bill and Son Towing Etobicoke"" on LinkedIn,"Wed Apr 30",FIND_PHONE_FIRST,NORMAL,needs_phone,"No website found. Multi-highway zone (401+409+427) suggests medium-large operation. Try 411.ca ""Bill & Son Towing"" Etobicoke / Toronto."
3D,JP Towing Service & Storage Ltd.,"Hwy 427 (409 to Major Mackenzie Dr)",,,,not_found,jptowing.ca,tls_error,"Etobicoke / North York",,,,"Highway towing, storage",,unknown,owner,,search: ""JP Towing Storage Toronto"" on LinkedIn,"Tue Apr 29",FIND_PHONE_FIRST,NORMAL,needs_phone,"Website jptowing.ca exists but TLS error — company likely still active. MTO contract current. Find phone via 411.ca: ""JP Towing"" Etobicoke / North York / Vaughan. Best-guess email: info@jptowing.ca"
4A,ABC Towing,"QEW (427 to Third Line)",905-337-0688,,,not_found,,not_found,"Oakville / Mississauga border",,,,Highway towing,,unknown,owner,,search: ""ABC Towing Oakville"" on LinkedIn,"Tue Apr 29",CALL_FIRST,NORMAL,draft,"25+ years in business. No website found. No email available. Call only at 905-337-0688."
4B,JKM Towing Inc.,"QEW/403 (Third Line to Hwy 6 N)",905-638-2400,905-638-4344,info@jkmtowing.com,best_guess,jkmtowing.com,active,"Burlington / Oakville / Hamilton / Cambridge",,"4 locations",,"Highway towing, heavy recovery, storage, light towing",,unknown,dispatch manager,,https://www.linkedin.com/company/jkm-towing (verify),"Tue Apr 29",CALL_FIRST,NORMAL,draft,"4 locations — likely has LinkedIn presence given scale. Use heavy dispatch line 905-638-4344 for best pickup. Best-guess email: info@jkmtowing.com (site has contact form only)."
4C,A Action Towing and Recovery Inc.,"QEW (403 split to Fifty Rd)",905-632-1502,,info@aactiontowing.ca,best_guess,,unknown,"Burlington / Hamilton area","70 trucks","9 locations",,"Highway towing, heavy recovery, accident management","ISO 9001 certified; MTO Tow Zone Pilot ACCREDITED",unknown,"owner / VP Operations",,search: ""A Action Towing Recovery"" on LinkedIn,"Mon Apr 28",CALL_FIRST,HIGH,draft,"Largest confirmed fleet on list (70 trucks, 9 locations). ISO 9001 + MTO Pilot accreditation. Multi-location means dispatch manager layer — may need to navigate gatekeeper. Best-guess email: info@aactiontowing.ca"
