zone,company,highway_coverage,phone,email,website,address,fleet_size,contact_name,contact_confidence,approach,notes,outreach_status,week1_day
1D,Classic Towing & Storage Service,Hwy 401 (Morningside to 412),416-604-3222,unknown,classictowing.ca,"Toronto area, 150+ vehicles","150+ service vehicles",Kevin (owner — per referral),HIGH,CALL FIRST,"User knows Kevin — warm intro. Light/medium/heavy fleet. MTO Zone 1D. After-tow storage confirmed.",New,Mon Apr 28
1A+2B,Abrams Towing,"Hwy 401 (400 to 404); Hwy 401 (James Snow to Hwy 6 S)",unknown,unknown,unknown,unknown,unknown,unknown,LOW,CALL FIRST,"Holds TWO zones — high priority. No website found. Search 411/Yellow Pages for phone.",New,Mon Apr 28
3B,Pacific Towing and Recovery,Hwy 401 (Dixie to Islington),905-407-0000,info@pacifictowing.ca,pacifictowing.ca,"1385 Shawson Dr, Mississauga ON L4W 1C4",unknown,unknown,MEDIUM,CALL + EMAIL,"Heavy duty, air cushion recovery. 24/7. MTO Zone 3B. ISO certified.",New,Mon Apr 28
2D,Lyons Towing,Hwy 403 (QEW to 401),905-277-1456,dispatch@lyons-towing.com,lyons-towing.com,"Mississauga ON",unknown,unknown,MEDIUM,CALL + EMAIL,"Mississauga/Brampton/Oakville/Milton. MTO Zone 2D.",New,Mon Apr 28
4C,A Action Towing and Recovery Inc.,"QEW (403 split to Fifty Rd)",905-632-1502,unknown,aactiontowing.ca,"2-4121 Morris Drive, Burlington ON L7L 5L5","70 trucks, 9 locations",unknown,HIGH,CALL FIRST,"MTO Tow Zone Pilot ACCREDITED. ISO 9001. 70 trucks, QEW/401 corridor. Largest operator on list — high value.",New,Mon Apr 28
2A,A.Z. Towing,Hwy 401 (Dixie to James Snow),905-463-5555,Dispatch@aztowing.ca,aztowing.ca,"2323 Anson Dr, Mississauga ON L5S 1G1","20+ trucks",unknown,MEDIUM,CALL + EMAIL,"Est 2005. 20+ trucks. Mississauga base. MTO Zone 2A.",New,Tue Apr 29
3A,Fellows Towing,Hwy 400 (401 to 9),1-877-401-0401,info@fellowstowing.com,fellowstowing.com,"1625 Shawson Dr, Mississauga ON L4W 1T7",unknown,unknown,MEDIUM,CALL + EMAIL,"Heavy duty + float + recovery. MTO Zone 3A (Hwy 400). Legal name: 1654187 ONTARIO INC.",New,Tue Apr 29
4B,JKM Towing Inc.,"QEW/403 (Third Line to Hwy 6 N)",905-638-2400,unknown,jkmtowing.com,"1231 King Rd, Burlington ON L7R 3X5","4 locations (Burlington/Oakville/Hamilton/Cambridge)",unknown,MEDIUM,CALL FIRST,"Multi-location. Light: 905-638-2400, Heavy: 905-638-4344. No email found — call dispatch.",New,Tue Apr 29
4A,ABC Towing,QEW (427 to Third Line),905-337-0688,unknown,abctowing.ca,"Burlington/Oakville/Mississauga/Hamilton",unknown,unknown,LOW,CALL FIRST,"25+ years. No email found. No owner name. Phone only.",New,Tue Apr 29
3D,JP Towing Service & Storage Ltd.,Hwy 427 (409 to Major Mackenzie),unknown,unknown,jptowing.ca,unknown,unknown,unknown,LOW,CALL FIRST,"Website has TLS error — company still active (MTO contract holder). Search 411 for phone.",New,Tue Apr 29
1C,Williams Towing Service,Hwy 404 (401 to Major Mackenzie),416-299-8383,dispatch@williamstowing.ca,williamstowing.ca,"2671 Markham Rd, Scarborough ON",unknown,unknown,MEDIUM,CALL + EMAIL,"55+ years experience. 15,000 vehicles/yr. GTA east (Scarborough/Markham/Pickering/Ajax).",New,Wed Apr 30
3C,Bill & Son Towing,"Hwy 401, 409, 427",unknown,unknown,unknown,unknown,unknown,unknown,LOW,CALL FIRST,"No website found. Search 411/Yellow Pages. MTO Zone 3C.",New,Wed Apr 30
2C,COMTOW,Hwy 410 (401 to Hurontario),unknown,unknown,comtow.ca,unknown,unknown,unknown,LOW,CALL FIRST,"Website exists but TLS expired — company likely still active. Brampton area (Hwy 410).",New,Wed Apr 30
1B,Bob's Towing,Hwy 401 (404 to Morningside),unknown,unknown,unknown,unknown,unknown,unknown,LOW,CALL FIRST,"No website found. Search 411/Yellow Pages for Bob's Towing Scarborough/Toronto.",New,Wed Apr 30
